20181126135912,32.032763,118.708513,46001,3,20738,93994773,1650,107,-49,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135917,32.032713,118.708487,46011,3,16527,67316274,1825,242,-57,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135920,32.032680,118.708467,46001,2,53506,38672,10663,238,-76,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135923,32.032650,118.708442,46000,0,20758,44382,74,52,-70,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135926,32.032615,118.708427,46000,3,20758,9854875,40540,31,-52,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135931,32.032520,118.708398,46001,3,20738,93994773,1650,107,-53,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135932,32.032507,118.708392,46001,0,13351,37845,650,4,-91,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135936,32.032453,118.708378,46011,3,16527,67316274,1825,242,-54,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135944,32.032328,118.708367,46001,2,53506,38672,10663,238,-72,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135945,32.032313,118.708365,46000,3,20758,9639323,40540,148,-51,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135947,32.032292,118.708365,46000,0,20758,44382,74,52,-71,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135950,32.032242,118.708360,46001,3,20738,93929247,1650,2,-53,,,,,,,,,,,,,,,,,,,,,,,,,
20181126135955,32.032168,118.708350,46011,3,16527,67316274,1825,242,-55,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140004,32.032023,118.708333,46000,3,20758,9639323,40540,148,-50,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140008,32.031980,118.708333,46001,2,53506,38672,10663,238,-80,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140009,32.031962,118.708328,46001,3,20738,93929247,1650,2,-58,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140012,32.031943,118.708325,46000,0,20758,44382,74,52,-68,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140015,32.031913,118.708325,46011,3,16527,67316274,1825,242,-56,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140021,32.031862,118.708318,46001,0,13351,37845,650,4,-84,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140024,32.031805,118.708328,46000,3,20954,230982145,40540,95,-50,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140028,32.031757,118.708325,46001,3,20738,93539349,1650,319,-51,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140032,32.031715,118.708322,46001,2,53506,39152,10663,193,-73,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140033,32.031692,118.708330,46011,3,16527,67316274,1825,242,-61,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140035,32.031687,118.708332,46000,0,20758,34302,74,56,-69,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140042,32.031600,118.708363,46000,3,20954,230982145,40540,95,-54,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140044,32.031588,118.708365,46001,0,13351,37845,650,4,-88,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140047,32.031557,118.708367,46001,3,20738,93539349,1650,319,-61,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140052,32.031510,118.708360,46011,3,16439,66085942,1825,21,-66,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140056,32.031448,118.708352,46001,2,53506,22693,10663,156,-72,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140059,32.031382,118.708335,46000,0,20758,44383,70,20,-82,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140101,32.031363,118.708327,46000,3,20954,230982145,40540,95,-54,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140106,32.031322,118.708353,46001,3,20738,84102175,1650,17,-58,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140108,32.031285,118.708350,46001,0,13351,37845,650,4,-90,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140111,32.031247,118.708340,46011,3,16439,66085942,1825,21,-61,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140120,32.031122,118.708248,46001,2,53506,22693,10663,156,-66,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140120,32.031122,118.708248,46000,3,20954,230982145,40540,95,-52,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140124,32.031068,118.708218,46000,0,20758,53651,69,15,-79,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140125,32.031058,118.708197,46001,3,20738,84102175,1650,17,-50,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140130,32.031005,118.708193,46011,3,16439,66085942,1825,21,-51,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140133,32.030965,118.708180,46001,0,13351,37845,650,4,-93,,,,,,,,,,,,,,,,,,,,,,,,,
20181126140139,32.030875,118.708192,46000,3,20954,230982145,40540,95,-40,,,,,,,,,,,,,,,,,,,,,,,,,
