20190618115630,0.000000,0.000000,46000,32.06593604,118.7713224,NoType,3,20486,230798339,38400,B39,247,-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115632,0.000000,0.000000,46000,32.06593604,118.7713224,NoType,0,20757,54261,62,B0,46,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115634,0.000000,0.000000,46001,32.06593604,118.7713224,NoType,2,53507,7312,10663,B0,315,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115634,0.000000,0.000000,46001,32.06593604,118.7713224,NoType,3,20739,83929867,1650,B3,76,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115639,0.000000,0.000000,46011,32.06593604,118.7713224,NoType,3,16485,67136306,1825,B3,77,-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115640,0.000000,0.000000,46001,32.06593604,118.7713224,NoType,0,13352,27335,659,B0,49,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115645,0.000000,0.000000,46000,32.06593604,118.7713224,NoType,3,20486,230798339,38400,B39,247,-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115646,0.000000,0.000000,46003,32.06593604,118.7713224,,1,14174,32869,283,,10,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115650,0.000000,0.000000,46001,32.06593604,118.7713224,NoType,3,20739,83929867,1650,B3,76,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115656,0.000000,0.000000,46001,32.06593604,118.7713224,NoType,0,13352,27335,659,B0,49,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115656,0.000000,0.000000,46011,32.06593604,118.7713224,NoType,3,16485,67136306,1825,B3,77,-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115657,0.000000,0.000000,46001,32.06593604,118.7713224,NoType,2,53507,7312,10663,B0,315,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115701,0.000000,0.000000,46000,32.06593604,118.7713224,NoType,3,20486,230798339,38400,B39,247,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115704,0.000000,0.000000,46000,32.06593604,118.7713224,NoType,0,20757,54261,62,B0,46,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115706,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,3,20739,83929867,1650,B3,76,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115707,0.000000,0.000000,46003,32.06584291,118.7712043,,1,14174,32869,283,,10,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115711,0.000000,0.000000,46011,32.06584291,118.7712043,NoType,3,16485,67136306,1825,B3,77,-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115712,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,0,13352,27335,659,B0,49,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115717,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,3,20486,230798339,38400,B39,247,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115718,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,2,53507,7312,10663,B0,315,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115720,0.000000,0.000000,46000,32.06584291,118.7712043,NoType,0,20757,54261,62,B0,46,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190618115723,0.000000,0.000000,46001,32.06584291,118.7712043,NoType,3,20739,83929867,1650,B3,76,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
